,Age,BusinessTravel,DistanceFromHome,EnvironmentSatisfaction,Gender,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Attrition
0,0.5476190476190477,1.0,0.0,0.3333333333333333,0.0,0.25,1.0,0.2624539231174302,0.8888888888888888,1.0,0.0,0.0,0.0,0.2,0.0,0.15000000000000002,0.2222222222222222,0.0,0.29411764705882354,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
1,0.7380952380952379,0.5,0.25,0.6666666666666667,1.0,0.25,0.3333333333333333,0.21700895208004214,0.1111111111111111,0.0,0.8571428571428571,1.0,0.3333333333333333,0.25,0.5,0.25,0.38888888888888884,0.06666666666666667,0.4117647058823529,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
2,0.4523809523809524,1.0,0.03571428571428571,1.0,1.0,0.0,0.6666666666666667,0.0569246972090574,0.6666666666666666,1.0,0.2857142857142857,0.0,0.0,0.17500000000000002,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
3,0.35714285714285715,0.5,0.07142857142857142,1.0,0.0,0.0,0.6666666666666667,0.10005265929436546,0.1111111111111111,1.0,0.0,0.0,0.0,0.2,0.5,0.2,0.38888888888888884,0.2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
4,0.21428571428571425,1.0,0.03571428571428571,0.0,1.0,0.0,0.3333333333333333,0.1294892048446551,1.0,0.0,0.0714285714285714,0.0,0.3333333333333333,0.15000000000000002,0.5,0.05,0.1111111111111111,0.13333333333333333,0.11764705882352941,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
5,0.3333333333333333,0.5,0.03571428571428571,1.0,1.0,0.0,1.0,0.10842548709847288,0.0,0.0,0.1428571428571428,0.0,0.0,0.2,0.3333333333333333,0.17500000000000002,0.38888888888888884,0.2,0.3529411764705882,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
6,0.976190476190476,1.0,0.07142857142857142,0.6666666666666667,0.0,0.0,0.0,0.08746708794102159,0.4444444444444444,1.0,0.6428571428571427,1.0,1.0,0.30000000000000004,0.5,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
7,0.28571428571428564,1.0,0.8214285714285714,1.0,1.0,0.0,0.6666666666666667,0.08867825171142707,0.1111111111111111,0.0,0.7857142857142857,1.0,0.3333333333333333,0.025,0.3333333333333333,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
8,0.4761904761904761,0.5,0.7857142857142857,1.0,1.0,0.5,0.6666666666666667,0.44849921011058447,0.0,0.0,0.7142857142857143,1.0,0.0,0.25,0.3333333333333333,0.225,0.38888888888888884,0.06666666666666667,0.47058823529411764,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
9,0.42857142857142855,1.0,0.9285714285714285,0.6666666666666667,1.0,0.25,0.6666666666666667,0.22264349657714586,0.6666666666666666,0.0,0.1428571428571428,0.0,0.6666666666666666,0.42500000000000004,0.5,0.17500000000000002,0.38888888888888884,0.4666666666666667,0.4117647058823529,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
10,0.4047619047619047,1.0,0.5357142857142857,0.0,1.0,0.0,0.3333333333333333,0.07461822011585045,0.0,0.0,0.1428571428571428,0.0,0.3333333333333333,0.15000000000000002,0.8333333333333333,0.125,0.2222222222222222,0.0,0.1764705882352941,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
11,0.2619047619047619,1.0,0.5,1.0,0.0,0.25,0.6666666666666667,0.16766719325961033,0.0,1.0,0.0714285714285714,0.0,0.0,0.25,0.5,0.225,0.2777777777777778,0.0,0.47058823529411764,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
12,0.3095238095238095,1.0,0.8928571428571428,0.0,1.0,0.0,0.6666666666666667,0.10015797788309638,0.1111111111111111,0.0,0.4285714285714285,0.0,0.3333333333333333,0.125,0.16666666666666666,0.125,0.1111111111111111,0.26666666666666666,0.1764705882352941,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
